GIORNO,DATA,ORA,CAMPO,GIRONE,IDSQUADRA1,IDSQUADRA2,SQUADRA1,SQUADRA2,RISULTATO
SABATO,2025-04-19,18:20:00,B,G,G2,G3,FUNKY MONKEY,GLI IRRIDUCIBILI,1-0
SABATO,2025-04-19,18:40:00,B,B,B4,B5,POLLINATOR'S,MS,1-4
SABATO,2025-04-19,19:00:00,B,D,D4,D5,TEAM NOCINO,LA SOLEGGIATA,1-1
SABATO,2025-04-19,19:20:00,B,F,F4,F5,RAPID MIATANT,REAL MAI-DRIT,0-2
DOMENICA,2025-04-20,14:20:00,B,F,F2,F4,TEMPTATION BARLAND,RAPID MIATANT,4-1
DOMENICA,2025-04-20,14:40:00,B,D,D2,D4,I MISSILI,TEAM NOCINO,3-4
DOMENICA,2025-04-20,15:00:00,B,B,B2,B4,FRUNI UNITED,POLLINATOR'S,2-1
DOMENICA,2025-04-20,15:20:00,B,G,G1,G3,MANCHESTER FICHI,GLI IRRIDUCIBILI,2-2
DOMENICA,2025-04-20,15:40:00,B,F,F2,F5,TEMPTATION BARLAND,REAL MAI-DRIT,3-1
DOMENICA,2025-04-20,16:00:00,B,D,D2,D5,I MISSILI,LA SOLEGGIATA,2-0
DOMENICA,2025-04-20,16:20:00,B,B,B2,B5,FRUNI UNITED,MS,4-3
DOMENICA,2025-04-20,16:40:00,B,G,G1,G4,MANCHESTER FICHI,ABCF ASTON BIRRA,6-1
DOMENICA,2025-04-20,17:00:00,B,F,F1,F4,ATLETICO BIRRAO,RAPID MIATANT,2-3
DOMENICA,2025-04-20,17:20:00,B,D,D1,D4,ESPRESSGOL MACCHIATO,TEAM NOCINO,2-3
DOMENICA,2025-04-20,17:40:00,B,B,B1,B4,WELCOME ALCOHOLICS,POLLINATOR'S,1-0
DOMENICA,2025-04-20,18:00:00,B,F,F3,F5,HERTA VERNELLO,REAL MAI-DRIT,0-0
DOMENICA,2025-04-20,18:20:00,B,D,D3,D5,AURORA BIRREALE,LA SOLEGGIATA,2-1
DOMENICA,2025-04-20,18:40:00,B,B,B3,B5,BIRRA E CORI,MS,2-1
DOMENICA,2025-04-20,19:00:00,B,F,F1,F3,ATLETICO BIRRAO,HERTA VERNELLO,2-3
DOMENICA,2025-04-20,19:20:00,B,D,D1,D3,ESPRESSGOL MACCHIATO,AURORA BIRREALE,3-0
DOMENICA,2025-04-20,19:40:00,B,B,B1,B3,WELCOME ALCOHOLICS,BIRRA E CORI,4-0
